,name,icao,country
1,135 Airways,GNL,United States
2,1Time Airline,RNX,South Africa
3,2 Sqn No 1 Elementary Flying Training School,WYT,United Kingdom
4,213 Flight Unit,TFU,Russia
5,223 Flight Unit State Airline,CHD,Russia
6,224th Flight Unit,TTF,Russia
7,247 Jet Ltd,TWF,United Kingdom
8,3D Aviation,SEC,United States
9,40-Mile Air,MLA,United States
10,4D Air,QRT,Thailand
11,611897 Alberta Limited,THD,Canada
12,Ansett Australia,AAA,Australia
14,Abelag Aviation,AAB,Belgium
15,Army Air Corps,AAC,United Kingdom
16,Aero Aviation Centre Ltd.,AAD,Canada
17,Aero Servicios Ejecutivos Internacionales,SII,Mexico
18,Aero Biniza,BZS,Mexico
19,Aero Albatros,ABM,Spain
20,Aigle Azur,AAF,France
21,Aloha Airlines,AAH,United States
22,Alaska Island Air,AAK,United States
23,American Airlines,AAL,United States
24,Aviation Management Corporation,AAM,United States
25,Atlantis Airlines (USA),AAO,United States
26,Aerovista Airlines,AAP,United Arab Emirates
27,Asiana Airlines,AAR,Republic of Korea
28,Askari Aviation,AAS,Pakistan
29,Australia Asia Airlines,AAU,Australia
30,Astro Air International,AAV,United States
31,Afriqiyah Airways,AAW,Libya
32,Afrinat International Airlines,AFU,Gambia
33,Afric'air Express,AAX,Ivory Coast
34,Allegiant Air,AAY,United States
35,Angus Aviation,AAZ,Canada
36,Artem-Avia,ABA,Ukraine
37,African Business and Transportations,ABB,Democratic Republic of the Congo
38,Aban Air,ABE,Iran
39,Aerial Oy,ABF,Finland
40,Abakan-Avia,ABG,Russia
41,ABSA - Aerolinhas Brasileiras,TUS,Brazil
42,Abaet,ABJ,Brazil
43,Alberta Citylink,ABK,Canada
44,APSA Colombia,ABO,Colombia
45,Aerovias Bueno,ABU,Colombia
46,Aerocenter,ACR,AEROCENTER
47,Antrak Air,ABV,Ghana
48,Airborne Express,ABX,United States
49,ABX Air,ABX,United States
50,ATA Brasil,ABZ,Brazil
51,Avcard Services,ACC,United Kingdom
52,Academy Airlines,ACD,United States
53,Aero Comondu,ACO,Mexico
54,Astral Aviation,ACP,Kenya
55,Air Cess,ACS,Liberia
56,Air Aurora,AAI,United States
